signal,start,end,ts,component,unit,subcomponent,value,elapsed,rolled_value
jcarbon.emissions.Emissions,2024-06-05 16:54:35.899739761,2024-06-05 16:54:35.906462066,5878331820507057.0,os=Linux,GRAMS_OF_CO2,socket=0,4.7456061162582385e-05,0.027453442,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.899843122,2024-06-05 16:54:35.906429922,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828268,2.324973232140595e-05,0.027556803,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.899843122,2024-06-05 16:54:35.906429922,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829258,2.324973232140595e-05,0.027556803,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.901541233,2024-06-05 16:54:35.905750751,5878331820507057.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.795588259711944e-05,0.029254914,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.901541233,2024-06-05 16:54:35.905750751,5878331820507057.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.029254914,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.905750751,2024-06-05 16:54:35.909923791,5878331820507057.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.762697209349938e-05,0.033464432,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.905750751,2024-06-05 16:54:35.909923791,5878331820507057.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.00017705058512911687,0.033464432,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.906462066,2024-06-05 16:54:35.906780219,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828268,1.0147108879307302e-06,0.034175747,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.906462066,2024-06-05 16:54:35.906780219,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829258,1.0147108879307302e-06,0.034175747,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.906462066,2024-06-05 16:54:35.913539465,5878331820507057.0,os=Linux,GRAMS_OF_CO2,socket=0,4.514503288373872e-05,0.034175747,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.909923791,2024-06-05 16:54:35.914747953,5878331820507057.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,4.4735502620494756e-05,0.037637472,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.909923791,2024-06-05 16:54:35.914747953,5878331820507057.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.037637472,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.913539465,2024-06-05 16:54:35.920445485,5878331820507057.0,os=Linux,GRAMS_OF_CO2,socket=0,4.680992574760045e-05,0.041253146,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.913679315,2024-06-05 16:54:35.920414177,5878331820507057.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828268,4.5649793968209744e-05,0.041392996,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.914747953,2024-06-05 16:54:35.918930768,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.8788152510953155e-05,0.042461634,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.914747953,2024-06-05 16:54:35.918930768,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.042461634,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.918930768,2024-06-05 16:54:35.923113822,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.8790368809893005e-05,0.046644449,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.918930768,2024-06-05 16:54:35.923113822,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.046644449,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.920445485,2024-06-05 16:54:35.920650808,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828268,1.2578043439326646e-06,0.048159166,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.920445485,2024-06-05 16:54:35.928365603,5878331869700488.0,os=Linux,GRAMS_OF_CO2,socket=0,4.85184749144484e-05,0.048159166,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.920650808,2024-06-05 16:54:35.928333606,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828103,1.5688219209014076e-05,0.048364489,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.920650808,2024-06-05 16:54:35.928333606,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828284,1.5688219209014076e-05,0.048364489,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.920650808,2024-06-05 16:54:35.928333606,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829259,1.5688219209014076e-05,0.048364489,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.923113822,2024-06-05 16:54:35.927303314,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.885006978300933e-05,0.050827503,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.923113822,2024-06-05 16:54:35.927303314,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.050827503,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.927303314,2024-06-05 16:54:35.931491613,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.883900683474468e-05,0.055016995,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.927303314,2024-06-05 16:54:35.931491613,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.00017264085697741508,0.055016995,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.928365603,2024-06-05 16:54:35.928784077,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828103,1.057740780576941e-06,0.056079284,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.928365603,2024-06-05 16:54:35.928784077,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828284,1.057740780576941e-06,0.056079284,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.928365603,2024-06-05 16:54:35.928784077,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829259,1.057740780576941e-06,0.056079284,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.928365603,2024-06-05 16:54:35.935341731,5878331869700488.0,os=Linux,GRAMS_OF_CO2,socket=0,5.289887837326563e-05,0.056079284,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.928784077,2024-06-05 16:54:35.935308023,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828254,2.473502679192188e-05,0.056497758,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.928784077,2024-06-05 16:54:35.935308023,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828255,2.473502679192188e-05,0.056497758,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.931491613,2024-06-05 16:54:35.935606241,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.850784082507132e-05,0.059205294,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.931491613,2024-06-05 16:54:35.935606241,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.059205294,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.935341731,2024-06-05 16:54:35.935402776,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828254,1.9976034975495743e-07,0.063055412,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.935341731,2024-06-05 16:54:35.935402776,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828255,1.9976034975495743e-07,0.063055412,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.935341731,2024-06-05 16:54:35.942056288,5878331869700488.0,os=Linux,GRAMS_OF_CO2,socket=0,4.394470488228676e-05,0.063055412,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.935606241,2024-06-05 16:54:35.939789533,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.9150451136966505e-05,0.063319922,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.935606241,2024-06-05 16:54:35.939789533,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.063319922,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.939789533,2024-06-05 16:54:35.943976640,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.918615482943825e-05,0.067503214,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.939789533,2024-06-05 16:54:35.943976640,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.067503214,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.942056288,2024-06-05 16:54:35.948759805,5878331869700488.0,os=Linux,GRAMS_OF_CO2,socket=0,3.8305213796617075e-05,0.069769969,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.942206789,2024-06-05 16:54:35.948727576,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828276,1.86305293293954e-05,0.06992047,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.942206789,2024-06-05 16:54:35.948727576,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828282,1.86305293293954e-05,0.06992047,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.943976640,2024-06-05 16:54:35.948170423,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.924863395157231e-05,0.071690321,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.943976640,2024-06-05 16:54:35.948170423,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.071690321,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.948170423,2024-06-05 16:54:35.952343463,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.90545050674461e-05,0.075884104,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.948170423,2024-06-05 16:54:35.952343463,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.00018135007005905845,0.075884104,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.948759805,2024-06-05 16:54:35.949115794,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828276,1.3769915601866655e-06,0.076473486,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.948759805,2024-06-05 16:54:35.949115794,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828282,1.3769915601866655e-06,0.076473486,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.948759805,2024-06-05 16:54:35.955752905,5878331869700488.0,os=Linux,GRAMS_OF_CO2,socket=0,5.4099647346077376e-05,0.076473486,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.949115794,2024-06-05 16:54:35.955719368,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829266,2.5543108537252834e-05,0.076829475,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.949115794,2024-06-05 16:54:35.955719368,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829270,2.5543108537252834e-05,0.076829475,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.952343463,2024-06-05 16:54:35.956453800,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.7840088003972745e-05,0.080057144,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.952343463,2024-06-05 16:54:35.956453800,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.080057144,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.955752905,2024-06-05 16:54:35.955859477,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829266,3.199132994347579e-07,0.083466586,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.955752905,2024-06-05 16:54:35.955859477,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829270,3.199132994347579e-07,0.083466586,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.955752905,2024-06-05 16:54:35.962334607,5878331869700488.0,os=Linux,GRAMS_OF_CO2,socket=0,3.95145817422277e-05,0.083466586,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.955859477,2024-06-05 16:54:35.962301522,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828271,3.867612264116625e-05,0.083573158,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.956453800,2024-06-05 16:54:35.960627555,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.842391913534615e-05,0.084167481,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.956453800,2024-06-05 16:54:35.960627555,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.084167481,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.960627555,2024-06-05 16:54:35.964801073,5878331869700488.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.8421737294573244e-05,0.088341236,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.960627555,2024-06-05 16:54:35.964801073,5878331869700488.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.088341236,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.962334607,2024-06-05 16:54:35.962434621,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828271,6.734532485685604e-07,0.090048288,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.962334607,2024-06-05 16:54:35.969031954,5878331869700488.0,os=Linux,GRAMS_OF_CO2,socket=0,4.509718733318238e-05,0.090048288,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.962434621,2024-06-05 16:54:35.968999730,5878331869700488.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828103,4.42067508874427e-05,0.090148302,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.964801073,2024-06-05 16:54:35.968985557,5878331918908872.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.852269115919592e-05,0.092514754,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.964801073,2024-06-05 16:54:35.968985557,5878331918908872.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.092514754,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.968985557,2024-06-05 16:54:35.973171234,5878331918908872.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.853367401169408e-05,0.096699238,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.968985557,2024-06-05 16:54:35.973171234,5878331918908872.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.00017098720893336095,0.096699238,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.969031954,2024-06-05 16:54:35.969319534,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828103,1.911458105145826e-06,0.096745635,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.969031954,2024-06-05 16:54:35.976446098,5878331918908872.0,os=Linux,GRAMS_OF_CO2,socket=0,4.927959399651678e-05,0.096745635,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.969319534,2024-06-05 16:54:35.976411309,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828250,1.1784225957664423e-05,0.097033215,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.969319534,2024-06-05 16:54:35.976411309,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828252,1.1784225957664423e-05,0.097033215,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.969319534,2024-06-05 16:54:35.976411309,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828254,1.1784225957664423e-05,0.097033215,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.969319534,2024-06-05 16:54:35.976411309,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829267,1.1784225957664423e-05,0.097033215,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.973171234,2024-06-05 16:54:35.977355241,5878331918908872.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.4244280118584584e-05,0.100884915,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.973171234,2024-06-05 16:54:35.977355241,5878331918908872.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.100884915,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.976446098,2024-06-05 16:54:35.976922808,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828250,7.476089235455104e-07,0.104159779,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.976446098,2024-06-05 16:54:35.976922808,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828252,7.476089235455104e-07,0.104159779,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.976446098,2024-06-05 16:54:35.976922808,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828254,7.476089235455104e-07,0.104159779,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.976446098,2024-06-05 16:54:35.976922808,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829267,7.476089235455104e-07,0.104159779,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.976446098,2024-06-05 16:54:35.983467015,5878331918908872.0,os=Linux,GRAMS_OF_CO2,socket=0,4.404271108785111e-05,0.104159779,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.976922808,2024-06-05 16:54:35.983433167,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828246,1.3613314828399729e-05,0.104636489,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.976922808,2024-06-05 16:54:35.983433167,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829251,1.3613314828399729e-05,0.104636489,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.976922808,2024-06-05 16:54:35.983433167,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829264,1.3613314828399729e-05,0.104636489,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.977355241,2024-06-05 16:54:35.981538772,5878331918908872.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.424038426531846e-05,0.105068922,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.977355241,2024-06-05 16:54:35.981538772,5878331918908872.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.105068922,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.981538772,2024-06-05 16:54:35.985724210,5878331918908872.0,jcarbon.nvml.NvmlEstimatedEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,3.425599223208002e-05,0.109252453,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.981538772,2024-06-05 16:54:35.985724210,5878331918908872.0,jcarbon.nvml.NvmlTotalEnergy,GRAMS_OF_CO2,device=0:name=Quadro P5000,0.0,0.109252453,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.983467015,2024-06-05 16:54:35.983531371,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828246,1.5119215430913814e-07,0.111180696,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.983467015,2024-06-05 16:54:35.983531371,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829251,1.5119215430913814e-07,0.111180696,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.983467015,2024-06-05 16:54:35.983531371,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3829264,1.5119215430913814e-07,0.111180696,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.983467015,2024-06-05 16:54:35.990035093,5878331918908872.0,os=Linux,GRAMS_OF_CO2,socket=0,4.629134171594515e-05,0.111180696,
jcarbon.emissions.Emissions,2024-06-05 16:54:35.983531371,2024-06-05 16:54:35.990001455,5878331918908872.0,process=3828103,GRAMS_OF_CO2,process=3828103:task=3828247,4.560068704647985e-05,0.111245052,
